"State.Code","County.Code","Latitude","Longitude","Datum","Sample.Duration","Metric.Used","Units.of.Measure","Observation.Count","Observation.Percent","Arithmetic.Mean","Arithmetic.Standard.Dev","X50th.Percentile","GEOID","total_population","total_no_vehicle","total_carpool_vehicle","total_private_vehicle","total_public_transit","ppt","tmax","tmin","tmean"
"06","071",34.030833,-117.61722,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8607,98,42.234358,12.361713,41.1,"06071",2149031,15504,99623,720077,12532,563.173889160156,25.3990993499756,12.110499382019,18.7546997070312
"06","071",34.510961,-117.32554,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8200,94,27.221714,12.276795,29.7,"06071",2149031,15504,99623,720077,12532,222.873901367188,23.4463996887207,8.27610015869141,15.8610992431641
"06","071",34.10374,-117.62914,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7753,89,25.663354,10.590266,26.1,"06071",2149031,15504,99623,720077,12532,671.203002929688,24.959098815918,12.3998994827271,18.6793003082275
"06","071",35.77446,-117.3721,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7704,88,11.747576,7.916307,9.5,"06071",2149031,15504,99623,720077,12532,191.396987915039,26.3477993011475,11.6862001419067,19.0167999267578
"06","071",34.10002,-117.49201,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8409,96,30.864368,11.923304,30.7,"06071",2149031,15504,99623,720077,12532,614.613891601562,25.0739002227783,12.2627992630005,18.6681003570557
"06","071",34.106678,-117.274063,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8382,96,26.838571,9.073272,27,"06071",2149031,15504,99623,720077,12532,564.760864257812,25.6721992492676,11.9125995635986,18.7922992706299
"06","073",32.631242,-117.059088,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7901,90,18.538028,11.215687,17,"06073",3316073,34924,140439,1240027,48043,399.537902832031,22.0503997802734,12.601900100708,17.326000213623
"06","073",32.842318,-116.768293,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7657,87,8.776786,4.291699,8,"06073",3316073,34924,140439,1240027,48043,717.182861328125,23.022798538208,10.3689994812012,16.6957988739014
"06","073",33.217046,-117.396249,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7818,89,13.832386,8.887892,12,"06073",3316073,34924,140439,1240027,48043,485.851898193359,19.346399307251,12.8242998123169,16.0851001739502
"06","073",32.578165,-116.921374,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7509,86,18.867257,12.36944,16,"06073",3316073,34924,140439,1240027,48043,528.187866210938,22.4661998748779,11.4326000213623,16.9492988586426
